Area,Element,Item,Year,Unit,Value,Flag Description,Origin
Bulgaria,Export Value,Cheese from whole cow milk,2010,1000 US$,11497.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2011,1000 US$,11771.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2012,1000 US$,5796.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2013,1000 US$,5250.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2014,1000 US$,4561.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2015,1000 US$,4183.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2016,1000 US$,6757.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2017,1000 US$,6717.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2018,1000 US$,5275.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2019,1000 US$,5054.0,Official figure,Europe
Bulgaria,Export Value,"Cream, fresh",2010,1000 US$,146.0,Official figure,Europe
Bulgaria,Export Value,"Cream, fresh",2011,1000 US$,136.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2010,1000 US$,404.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2011,1000 US$,694.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2012,1000 US$,885.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2013,1000 US$,3094.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2014,1000 US$,2113.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2015,1000 US$,2306.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2016,1000 US$,1703.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2017,1000 US$,358.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2018,1000 US$,216.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2019,1000 US$,1093.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2010,1000 US$,54.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2011,1000 US$,23.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2012,1000 US$,25.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2013,1000 US$,86.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2014,1000 US$,134.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2015,1000 US$,649.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2016,1000 US$,1166.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2017,1000 US$,312.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2018,1000 US$,216.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2019,1000 US$,308.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2010,1000 US$,2.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2011,1000 US$,5.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2012,1000 US$,3.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2015,1000 US$,146.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2016,1000 US$,235.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2017,1000 US$,266.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2018,1000 US$,72.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2019,1000 US$,26.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2010,1000 US$,61.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2011,1000 US$,279.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2012,1000 US$,66.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2011,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2012,1000 US$,18.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2013,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2011,1000 US$,54.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2010,1000 US$,17.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2011,1000 US$,3.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2012,1000 US$,252.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2013,1000 US$,57.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2014,1000 US$,345.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2015,1000 US$,581.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2016,1000 US$,4.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2017,1000 US$,29.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2018,1000 US$,180.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2019,1000 US$,145.0,Official figure,Europe
Bulgaria,Export Value,"Cream, fresh",2011,1000 US$,39.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2010,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2014,1000 US$,16.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2019,1000 US$,60.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2010,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2010,1000 US$,2.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2011,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2018,1000 US$,4.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2010,1000 US$,87.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2011,1000 US$,74.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2010,1000 US$,124.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2011,1000 US$,106.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2012,1000 US$,104.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2013,1000 US$,59.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2014,1000 US$,56.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2015,1000 US$,43.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2016,1000 US$,30.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2017,1000 US$,34.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2018,1000 US$,62.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2019,1000 US$,33.0,Official figure,Europe
Bulgaria,Export Value,Whole milk powder,2017,1000 US$,2.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2010,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2012,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2016,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2017,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2018,1000 US$,45.0,Official figure,Europe
Bulgaria,Export Value,Butter of cow milk,2019,1000 US$,31.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2010,1000 US$,446.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2011,1000 US$,550.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2010,1000 US$,1310.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2011,1000 US$,1797.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2012,1000 US$,2473.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2013,1000 US$,2685.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2014,1000 US$,2511.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2015,1000 US$,1874.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2016,1000 US$,2032.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2017,1000 US$,2007.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2018,1000 US$,2257.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2019,1000 US$,1711.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2010,1000 US$,2.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2011,1000 US$,26.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2012,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2014,1000 US$,36.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2015,1000 US$,220.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2016,1000 US$,332.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2017,1000 US$,125.0,Official figure,Europe
Bulgaria,Export Value,Skim milk and whey powder,2018,1000 US$,36.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2012,1000 US$,0.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2013,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, condensed",2014,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2010,1000 US$,72.0,Official figure,Europe
Bulgaria,Export Value,"Cheese from milk of sheep, fresh or processed",2011,1000 US$,64.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2010,1000 US$,390.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2011,1000 US$,474.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2012,1000 US$,457.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2013,1000 US$,646.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2014,1000 US$,1349.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2015,1000 US$,1619.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2016,1000 US$,1979.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2017,1000 US$,1931.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2018,1000 US$,3559.0,Official figure,Europe
Bulgaria,Export Value,Cheese from whole cow milk,2019,1000 US$,4567.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2011,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2012,1000 US$,1.0,Official figure,Europe
Bulgaria,Export Value,"Whole milk, evaporated",2013,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2013,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,63.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,11.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,15.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,15.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,22.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2010,1000 US$,57.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2011,1000 US$,71.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,49.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,41.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,12.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,89.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,214.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,181.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,89.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,51.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2016,1000 US$,31.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2017,1000 US$,40.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2011,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,"Whole milk, evaporated",2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2012,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,6.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,10.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2010,1000 US$,7.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2012,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,31.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,39.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2011,1000 US$,8.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,11.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,15.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,28.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,49.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,80.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,19.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,81.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2013,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,7.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,84.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,109.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,280.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,217.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,38.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2016,1000 US$,34.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2010,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2014,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2016,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2017,1000 US$,54.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,6.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,72.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,111.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,64.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,12.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,11.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,15.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2012,1000 US$,7.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2013,1000 US$,10.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,137.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,20.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2012,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2013,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,44.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,157.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,502.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,20.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2010,1000 US$,96.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2011,1000 US$,146.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2012,1000 US$,354.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,200.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,11.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,59.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,62.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,350.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,692.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,323.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2011,1000 US$,41.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2012,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2016,1000 US$,11.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2018,1000 US$,20.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2017,1000 US$,315.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2019,1000 US$,68.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2018,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,6.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,10.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,7.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,47.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,21.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,108.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,42.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,22.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,46.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,114.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2013,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2016,1000 US$,7.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2017,1000 US$,8.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2016,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,5.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,27.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2010,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,4.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2011,1000 US$,44.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,76.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,330.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,473.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,72.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,8.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,"Whole milk, evaporated",2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2013,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,507.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,847.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,337.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2013,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2017,1000 US$,20.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,9.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,2.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,3.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,12.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2014,1000 US$,106.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2017,1000 US$,217.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2018,1000 US$,903.0,Official figure,Europe
Croatia,Export Value,Whole milk powder,2019,1000 US$,800.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,"Whole milk, condensed",2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2016,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2018,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Butter of cow milk,2019,1000 US$,246.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2014,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2015,1000 US$,0.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2016,1000 US$,8.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2017,1000 US$,362.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2018,1000 US$,1.0,Official figure,Europe
Croatia,Export Value,Cheese from whole cow milk,2019,1000 US$,38.0,Official figure,Europe
Croatia,Export Value,Skim milk and whey powder,2016,1000 US$,22.0,Official figure,Europe
